algorithm;dataset;k;qids;weighted;iterations;eliteFraction;crossoverFraction;mutationProbability;trianglePattern;dualPopulation;timeLimit;stepLimit;limitByOptimalLoss;batchNumber;time;externalUtility;internalUtility
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.05;true;true;300000;2147483647;true;1;1124;0.977974825;0
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.05;true;true;300000;2147483647;true;2;1415;0.977974825;0
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.05;true;true;300000;2147483647;true;3;1414;0.977974825;0
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.05;true;true;300000;2147483647;true;4;698;0.977974825;0
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.05;true;true;300000;2147483647;true;5;1127;0.977974825;0
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.05;true;true;300000;2147483647;true;6;658;0.977974825;0
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.05;true;true;300000;2147483647;true;7;2350;0.977974825;0
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.05;true;true;300000;2147483647;true;8;1165;0.977974825;0
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.05;true;true;300000;2147483647;true;9;1120;0.977974825;0
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.05;true;true;300000;2147483647;true;10;1214;0.977974825;0
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.05;true;true;300000;2147483647;true;11;1885;0.977974825;0
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.05;true;true;300000;2147483647;true;12;1336;0.977974825;0
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.05;true;true;300000;2147483647;true;13;1613;0.977974825;0
