algorithm;dataset;k;qids;weighted;iterations;eliteFraction;crossoverFraction;mutationProbability;trianglePattern;dualPopulation;timeLimit;stepLimit;limitByOptimalLoss;batchNumber;time;externalUtility;internalUtility
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;1;115746;0.360369004;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;1;220719;0.359508111;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;1;420799;0.333912965;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;1;720861;0.354980695;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;1;265831;0.615353188;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;1;450727;0.581780762;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;1;960731;0.59690301;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;1;1410727;0.612701697;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;1;205511;0.840119987;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;1;480729;0.849361618;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;1;880686;0.848632398;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;1;1290769;0.85167211;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;2;100690;0.337553934;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;2;190638;0.341844007;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;2;440734;0.357038494;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;2;510635;0.314536886;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;2;260683;0.606788259;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;2;460666;0.591278106;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;2;880652;0.564601944;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;2;1470731;0.59170729;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;2;210525;0.842599886;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;2;400552;0.850877122;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;2;1040803;0.85764482;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;2;1200685;0.850952699;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;3;120719;0.345683456;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;3;190615;0.32359797;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;3;300504;0.33513665;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;3;570648;0.341656291;0
