;;;;;;;;;;;;;;;;;;;;;;;
algorithm;dataset;k;qids;weighted;iterations;eliteFraction;crossoverFraction;productionFraction;mutationProbability;immigrationFraction;immigrationInterval;subpopulationSize;trianglePattern;dualPopulation;timeLimit;stepLimit;limitByOptimalLoss;batchNumber;time;externalUtility;internalUtility;tuningParameter;tuningValue
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.6;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;4769;0.9000490313023302;0;crossOverFraction;0.6
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.8;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;6521;0.9000490313023302;0;crossOverFraction;0.8
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.2;0.05;0.2;10;100;true;true;300000;2147483647;true;1;4389;0.9000490313023302;0;productionFraction;0.2
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.4;0.05;0.2;10;100;true;true;300000;2147483647;true;1;5173;0.9000490313023302;0;productionFraction;0.4
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.6;0.05;0.2;10;100;true;true;300000;2147483647;true;1;4100;0.9000490313023302;0;productionFraction;0.6
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;6438;0.9000490313023302;0;productionFraction;0.8
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.025;0.2;10;100;true;true;300000;2147483647;true;1;5647;0.9000490313023302;0;mutationProbability;0.025
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;5093;0.9000490313023302;0;mutationProbability;0.05
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.1;0.2;10;100;true;true;300000;2147483647;true;1;3821;0.9000490313023302;0;mutationProbability;0.1
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;5959;0.9000490313023302;0;immigrationFraction;0.2
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.4;10;100;true;true;300000;2147483647;true;1;4665;0.9000490313023302;0;immigrationFraction;0.4
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.6;10;100;true;true;300000;2147483647;true;1;6264;0.9000490313023302;0;immigrationFraction;0.6
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.8;10;100;true;true;300000;2147483647;true;1;7490;0.9000490313023302;0;immigrationFraction;0.8
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;5;100;true;true;300000;2147483647;true;1;5889;0.9000490313023302;0;immigrationInterval;5
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;7222;0.9000490313023302;0;immigrationInterval;10
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;20;100;true;true;300000;2147483647;true;1;6381;0.9000490313023302;0;immigrationInterval;20
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;50;true;true;300000;2147483647;true;1;5278;0.9000490313023302;0;subpopulationSize;50
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;6787;0.9000490313023302;0;subpopulationSize;100
BEST_EFFORT_GENETIC;ATUS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;true;true;300000;2147483647;true;1;9486;0.9000490313023302;0;subpopulationSize;200
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;13837;0.8209660559122881;0;eliteFraction;0.2
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.4;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;15053;0.8209660559122881;0;eliteFraction;0.4
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.6;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;11659;0.8209660559122881;0;eliteFraction;0.6
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.8;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;13840;0.8209660559122881;0;eliteFraction;0.8
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.2;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;17993;0.8209660559122881;0;crossOverFraction;0.2
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;15313;0.8209660559122881;0;crossOverFraction;0.4
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.6;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;21732;0.8209660559122881;0;crossOverFraction;0.6
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.8;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;21201;0.8209660559122881;0;crossOverFraction;0.8
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.2;0.05;0.2;10;100;true;true;300000;2147483647;true;1;9508;0.8209660559122881;0;productionFraction;0.2
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.4;0.05;0.2;10;100;true;true;300000;2147483647;true;1;12562;0.8209660559122881;0;productionFraction;0.4
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.6;0.05;0.2;10;100;true;true;300000;2147483647;true;1;16050;0.8209660559122881;0;productionFraction;0.6
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;19503;0.8209660559122881;0;productionFraction;0.8
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.025;0.2;10;100;true;true;300000;2147483647;true;1;22704;0.8209660559122881;0;mutationProbability;0.025
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;18058;0.8209660559122881;0;mutationProbability;0.05
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.1;0.2;10;100;true;true;300000;2147483647;true;1;22099;0.8209660559122881;0;mutationProbability;0.1
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;18276;0.8209660559122881;0;immigrationFraction;0.2
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.4;10;100;true;true;300000;2147483647;true;1;14703;0.8209660559122881;0;immigrationFraction;0.4
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.6;10;100;true;true;300000;2147483647;true;1;15058;0.8209660559122881;0;immigrationFraction;0.6
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.8;10;100;true;true;300000;2147483647;true;1;5868;0.8209660559122881;0;immigrationFraction;0.8
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;5;100;true;true;300000;2147483647;true;1;21975;0.8209660559122881;0;immigrationInterval;5
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;10682;0.8209660559122881;0;immigrationInterval;10
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;20;100;true;true;300000;2147483647;true;1;17464;0.8209660559122881;0;immigrationInterval;20
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;50;true;true;300000;2147483647;true;1;10276;0.8209660559122881;0;subpopulationSize;50
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;1;21248;0.8209660559122881;0;subpopulationSize;100
BEST_EFFORT_GENETIC;IHIS;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;true;true;300000;2147483647;true;1;34962;0.8209660559122881;0;subpopulationSize;200
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;246;0.7296212378705822;0;eliteFraction;0.2
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.4;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;397;0.7296212378705822;0;eliteFraction;0.4
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.6;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;296;0.7296212378705822;0;eliteFraction;0.6
BEST_EFFORT_GENETIC;ADULT;5;0;false;2147483647;0.8;0.4;0.8;0.05;0.2;10;100;true;true;300000;2147483647;true;2;404;0.7296212378705822;0;eliteFraction;0.8
